date,f
2019-07-12,-0.15764464285714286
2019-07-13,-0.15550835714285716
2019-07-14,-0.15337207142857143
2019-07-15,-0.15123578571428573
2019-07-16,-0.1490995
2019-07-17,-0.14879235714285713
2019-07-18,-0.1484852142857143
2019-07-19,-0.14817807142857142
2019-07-20,-0.14787092857142858
2019-07-21,-0.14756378571428572
2019-07-22,-0.14725664285714288
2019-07-23,-0.1469495
2019-07-24,-0.14750835714285715
2019-07-25,-0.1480672142857143
2019-07-26,-0.14862607142857143
2019-07-27,-0.14918492857142857
2019-07-28,-0.1497437857142857
2019-07-29,-0.15030264285714284
2019-07-30,-0.15086149999999998
2019-07-31,-0.15196414285714285
2019-08-01,-0.1530667857142857
2019-08-02,-0.15416942857142857
2019-08-03,-0.1552720714285714
2019-08-04,-0.15637471428571428
2019-08-05,-0.15747735714285713
2019-08-06,-0.15858
2019-08-07,-0.1600695
2019-08-08,-0.161559
2019-08-09,-0.1630485
2019-08-10,-0.164538
2019-08-11,-0.1660275
2019-08-12,-0.167517
2019-08-13,-0.1690065
2019-08-14,-0.17148757142857143
2019-08-15,-0.17396864285714286
2019-08-16,-0.1764497142857143
2019-08-17,-0.1789307857142857
2019-08-18,-0.18141185714285712
2019-08-19,-0.18389292857142855
2019-08-20,-0.18637399999999998
2019-08-21,-0.18745499999999998
2019-08-22,-0.18853599999999998
2019-08-23,-0.18961699999999998
2019-08-24,-0.190698
2019-08-25,-0.191779
2019-08-26,-0.19286
2019-08-27,-0.193941
2019-08-28,-0.19661814285714285
2019-08-29,-0.19929528571428573
2019-08-30,-0.20197242857142858
2019-08-31,-0.20464957142857143
2019-09-01,-0.20732671428571428
2019-09-02,-0.21000385714285716
2019-09-03,-0.212681
2019-09-04,-0.21345028571428573
2019-09-05,-0.21421957142857143
2019-09-06,-0.21498885714285715
2019-09-07,-0.21575814285714284
2019-09-08,-0.21652742857142857
2019-09-09,-0.21729671428571426
2019-09-10,-0.21806599999999998
2019-09-11,-0.21790849999999998
2019-09-12,-0.217751
2019-09-13,-0.2175935
2019-09-14,-0.217436
2019-09-15,-0.21727849999999999
2019-09-16,-0.217121
2019-09-17,-0.2169635
2019-09-18,-0.21770742857142858
2019-09-19,-0.21845135714285716
2019-09-20,-0.21919528571428573
2019-09-21,-0.21993921428571428
2019-09-22,-0.22068314285714286
2019-09-23,-0.22142707142857143
2019-09-24,-0.222171
2019-09-25,-0.22147485714285714
2019-09-26,-0.2207787142857143
2019-09-27,-0.22008257142857143
2019-09-28,-0.21938642857142857
2019-09-29,-0.2186902857142857
2019-09-30,-0.21799414285714286
2019-10-01,-0.217298
