year,state,dem_votes,gop_votes,ind_votes,source
1956,Michigan,"1,359,898","1,713,647","6,923",https://uselectionatlas.org/RESULTS/
1956,Minnesota,"617,525","719,302","3,178",https://uselectionatlas.org/RESULTS/
1956,Mississippi,"144,498","60,685","42,966",https://uselectionatlas.org/RESULTS/
1956,Missouri,"918,273","914,289",0,https://uselectionatlas.org/RESULTS/
1956,Montana,"116,238","154,933",0,https://uselectionatlas.org/RESULTS/
1956,Nebraska,"199,029","378,108",0,https://uselectionatlas.org/RESULTS/
1956,Nevada,"40,640","56,049",0,https://uselectionatlas.org/RESULTS/
1956,New Hampshire,"90,364","176,519",111,https://uselectionatlas.org/RESULTS/
1956,New Jersey,"850,337","1,606,942","27,033",https://uselectionatlas.org/RESULTS/
1956,New Mexico,"106,098","146,788","1,040",https://uselectionatlas.org/RESULTS/
1956,New York,"2,750,769","4,340,340","2,227",https://uselectionatlas.org/RESULTS/
1956,North Carolina,"590,530","575,062",0,https://uselectionatlas.org/RESULTS/
1956,North Dakota,"96,742","156,766",483,https://uselectionatlas.org/RESULTS/
1956,Ohio,"1,439,655","2,262,610",0,https://uselectionatlas.org/RESULTS/
1956,Oklahoma,"385,581","473,769",0,https://uselectionatlas.org/RESULTS/
1956,Oregon,"329,204","406,393",0,https://uselectionatlas.org/RESULTS/
1956,Pennsylvania,"1,981,769","2,585,252","9,482",https://uselectionatlas.org/RESULTS/
1956,Rhode Island,"161,790","225,819",2,https://uselectionatlas.org/RESULTS/
1956,South Carolina,"136,372","75,700","88,511",https://uselectionatlas.org/RESULTS/
1956,South Dakota,"122,288","171,569",0,https://uselectionatlas.org/RESULTS/
1956,Tennessee,"456,507","462,288","20,609",https://uselectionatlas.org/RESULTS/
1956,Texas,"859,958","1,080,619","14,968",https://uselectionatlas.org/RESULTS/
1956,Utah,"118,364","215,631",0,https://uselectionatlas.org/RESULTS/
1956,Vermont,"42,549","110,390",39,https://uselectionatlas.org/RESULTS/
1956,Virginia,"267,760","386,459","43,759",https://uselectionatlas.org/RESULTS/
1956,Washington,"523,002","620,430","7,457",https://uselectionatlas.org/RESULTS/
1956,West Virginia,"381,534","449,297",0,https://uselectionatlas.org/RESULTS/
1956,Wisconsin,"586,768","954,844","8,946",https://uselectionatlas.org/RESULTS/
1956,Wyoming,"49,554","74,573",0,https://uselectionatlas.org/RESULTS/
1956,,"26,028,028","35,579,180","414,771",https://uselectionatlas.org/RESULTS/
1960,Alabama,"318,303","237,981","8,189",https://uselectionatlas.org/RESULTS/
1960,Alaska,"29,809","30,953",0,https://uselectionatlas.org/RESULTS/
1960,Arizona,"176,781","221,241",469,https://uselectionatlas.org/RESULTS/
1960,Arkansas,"215,049","184,508","28,952",https://uselectionatlas.org/RESULTS/
1960,California,"3,224,099","3,259,722","22,757",https://uselectionatlas.org/RESULTS/
1960,Colorado,"330,629","402,242","3,375",https://uselectionatlas.org/RESULTS/
1960,Connecticut,"657,055","565,813",15,https://uselectionatlas.org/RESULTS/
1960,Delaware,"99,590","96,373",720,https://uselectionatlas.org/RESULTS/
1960,Florida,"748,700","795,476",0,https://uselectionatlas.org/RESULTS/
1960,Georgia,"458,638","274,472",239,https://uselectionatlas.org/RESULTS/
1960,Hawaii,"92,410","92,295",0,https://uselectionatlas.org/RESULTS/
1960,Idaho,"138,853","161,597",0,https://uselectionatlas.org/RESULTS/
1960,Illinois,"2,377,846","2,368,988","10,575",https://uselectionatlas.org/RESULTS/
1960,Indiana,"952,358","1,175,120","7,882",https://uselectionatlas.org/RESULTS/
1960,Iowa,"550,565","722,381",864,https://uselectionatlas.org/RESULTS/
1960,Kansas,"363,213","561,474","4,138",https://uselectionatlas.org/RESULTS/
1960,Kentucky,"521,855","602,607",0,https://uselectionatlas.org/RESULTS/
1960,Louisiana,"407,339","230,980","169,572",https://uselectionatlas.org/RESULTS/
1960,Maine,"181,159","240,608",6,https://uselectionatlas.org/RESULTS/
1960,Maryland,"565,808","489,538",3,https://uselectionatlas.org/RESULTS/
1960,Massachusetts,"1,487,174","976,750","5,556",https://uselectionatlas.org/RESULTS/
1960,Michigan,"1,687,269","1,620,428","10,400",https://uselectionatlas.org/RESULTS/
1960,Minnesota,"779,933","757,915","4,039",https://uselectionatlas.org/RESULTS/
1960,Mississippi,"108,362","73,561","116,248",https://uselectionatlas.org/RESULTS/
1960,Missouri,"972,201","962,221",0,https://uselectionatlas.org/RESULTS/
1960,Montana,"134,891","141,841",847,https://uselectionatlas.org/RESULTS/
1960,Nebraska,"232,542","380,553",0,https://uselectionatlas.org/RESULTS/
1960,Nevada,"54,880","52,387",0,https://uselectionatlas.org/RESULTS/
1960,New Hampshire,"137,772","157,989",0,https://uselectionatlas.org/RESULTS/
1960,New Jersey,"1,385,415","1,363,324","24,372",https://uselectionatlas.org/RESULTS/
1960,New Mexico,"156,027","153,733","1,347",https://uselectionatlas.org/RESULTS/
1960,New York,"3,830,085","3,446,419","14,575",https://uselectionatlas.org/RESULTS/
1960,North Carolina,"713,136","655,420",0,https://uselectionatlas.org/RESULTS/
1960,North Dakota,"123,963","154,310",158,https://uselectionatlas.org/RESULTS/
1960,Ohio,"1,944,248","2,217,611",0,https://uselectionatlas.org/RESULTS/
1960,Oklahoma,"370,111","533,039",0,https://uselectionatlas.org/RESULTS/
1960,Oregon,"367,402","408,060",959,https://uselectionatlas.org/RESULTS/
1960,Pennsylvania,"2,556,282","2,439,956","10,303",https://uselectionatlas.org/RESULTS/
1960,Rhode Island,"258,032","147,502",1,https://uselectionatlas.org/RESULTS/
1960,South Carolina,"198,129","188,558",1,https://uselectionatlas.org/RESULTS/
1960,South Dakota,"128,070","178,417",0,https://uselectionatlas.org/RESULTS/
1960,Tennessee,"481,453","556,577","13,762",https://uselectionatlas.org/RESULTS/
1960,Texas,"1,167,567","1,121,310","22,207",https://uselectionatlas.org/RESULTS/
1960,Utah,"169,248","205,361",100,https://uselectionatlas.org/RESULTS/
1960,Vermont,"69,186","98,131",7,https://uselectionatlas.org/RESULTS/
1960,Virginia,"362,327","404,521","4,601",https://uselectionatlas.org/RESULTS/
1960,Washington,"599,298","629,273","13,001",https://uselectionatlas.org/RESULTS/
1960,West Virginia,"441,786","395,995",0,https://uselectionatlas.org/RESULTS/
1960,Wisconsin,"830,805","895,175","3,102",https://uselectionatlas.org/RESULTS/
1960,Wyoming,"63,331","77,451",0,https://uselectionatlas.org/RESULTS/
1960,,"34,220,984","34,108,157","503,342",https://uselectionatlas.org/RESULTS/
1964,Alabama,0,"479,085","210,732",https://uselectionatlas.org/RESULTS/
1964,Alaska,"44,329","22,930",0,https://uselectionatlas.org/RESULTS/
1964,Arizona,"237,753","242,535",482,https://uselectionatlas.org/RESULTS/
1964,Arkansas,"314,197","243,264","2,965",https://uselectionatlas.org/RESULTS/
1964,California,"4,171,877","2,879,108","6,601",https://uselectionatlas.org/RESULTS/
1964,Colorado,"476,024","296,767","4,195",https://uselectionatlas.org/RESULTS/
1964,Connecticut,"826,269","390,996","1,313",https://uselectionatlas.org/RESULTS/
1964,Delaware,"122,704","78,078",538,https://uselectionatlas.org/RESULTS/
1964,District of Columbia,"169,796","28,801",0,https://uselectionatlas.org/RESULTS/
1964,Florida,"948,540","905,941",0,https://uselectionatlas.org/RESULTS/
1964,Georgia,"522,557","616,584",195,https://uselectionatlas.org/RESULTS/
1964,Hawaii,"163,249","44,022",0,https://uselectionatlas.org/RESULTS/
1964,Idaho,"148,920","143,557",0,https://uselectionatlas.org/RESULTS/
1964,Illinois,"2,796,833","1,905,946",62,https://uselectionatlas.org/RESULTS/
1964,Indiana,"1,170,848","911,118","9,640",https://uselectionatlas.org/RESULTS/
1964,Iowa,"733,030","449,148","2,361",https://uselectionatlas.org/RESULTS/
1964,Kansas,"464,028","386,579","7,294",https://uselectionatlas.org/RESULTS/
1964,Kentucky,"669,659","372,977","3,469",https://uselectionatlas.org/RESULTS/
1964,Louisiana,"387,068","509,225",0,https://uselectionatlas.org/RESULTS/
1964,Maine,"262,264","118,701",256,https://uselectionatlas.org/RESULTS/
1964,Maryland,"730,912","385,495",50,https://uselectionatlas.org/RESULTS/
1964,Massachusetts,"1,786,422","549,727","8,649",https://uselectionatlas.org/RESULTS/
1964,Michigan,"2,136,615","1,060,152","6,335",https://uselectionatlas.org/RESULTS/
1964,Minnesota,"991,117","559,624","3,721",https://uselectionatlas.org/RESULTS/
1964,Mississippi,"52,618","356,528",0,https://uselectionatlas.org/RESULTS/
1964,Missouri,"1,164,344","653,535",0,https://uselectionatlas.org/RESULTS/
1964,Montana,"164,246","113,032","1,350",https://uselectionatlas.org/RESULTS/
1964,Nebraska,"307,307","276,847",0,https://uselectionatlas.org/RESULTS/
1964,Nevada,"79,339","56,094",0,https://uselectionatlas.org/RESULTS/
1964,New Hampshire,"184,064","104,029",0,https://uselectionatlas.org/RESULTS/
1964,New Jersey,"1,867,671","963,843","15,256",https://uselectionatlas.org/RESULTS/
1964,New Mexico,"194,017","131,838","1,760",https://uselectionatlas.org/RESULTS/
1964,New York,"4,913,156","2,243,559","9,300",https://uselectionatlas.org/RESULTS/
1964,North Carolina,"800,139","624,844",0,https://uselectionatlas.org/RESULTS/
1964,North Dakota,"149,784","108,207",398,https://uselectionatlas.org/RESULTS/
1964,Ohio,"2,498,331","1,470,865",0,https://uselectionatlas.org/RESULTS/
1964,Oklahoma,"519,834","412,665",0,https://uselectionatlas.org/RESULTS/
1964,Oregon,"501,017","282,779","2,509",https://uselectionatlas.org/RESULTS/
1964,Pennsylvania,"3,130,954","1,673,657","18,079",https://uselectionatlas.org/RESULTS/
1964,Rhode Island,"315,463","74,615",13,https://uselectionatlas.org/RESULTS/
1964,South Carolina,"215,700","309,048",8,https://uselectionatlas.org/RESULTS/
1964,South Dakota,"163,010","130,108",0,https://uselectionatlas.org/RESULTS/
1964,Tennessee,"634,947","508,965",34,https://uselectionatlas.org/RESULTS/
1964,Texas,"1,663,185","958,566","5,060",https://uselectionatlas.org/RESULTS/
1964,Utah,"219,628","180,682",0,https://uselectionatlas.org/RESULTS/
1964,Vermont,"108,127","54,942",20,https://uselectionatlas.org/RESULTS/
1964,Virginia,"558,038","481,334","2,895",https://uselectionatlas.org/RESULTS/
1964,Washington,"779,881","470,366","8,309",https://uselectionatlas.org/RESULTS/
1964,West Virginia,"538,087","253,953",0,https://uselectionatlas.org/RESULTS/
1964,Wisconsin,"1,050,424","638,495","2,896",https://uselectionatlas.org/RESULTS/
1964,Wyoming,"80,718","61,998",0,https://uselectionatlas.org/RESULTS/
1964,,"43,129,040","27,175,754","336,745",https://uselectionatlas.org/RESULTS/
1968,Alabama,"196,579","146,923","706,415",https://uselectionatlas.org/RESULTS/
1968,Alaska,"35,411","37,600","10,024",https://uselectionatlas.org/RESULTS/
1968,Arizona,"170,514","266,721","49,701",https://uselectionatlas.org/RESULTS/
1968,Arkansas,"184,901","189,062","235,627",https://uselectionatlas.org/RESULTS/
1968,California,"3,244,318","3,467,664","539,605",https://uselectionatlas.org/RESULTS/
1968,Colorado,"335,174","409,345","66,680",https://uselectionatlas.org/RESULTS/
1968,Connecticut,"621,561","556,721","77,950",https://uselectionatlas.org/RESULTS/
1968,Delaware,"89,194","96,714","28,459",https://uselectionatlas.org/RESULTS/
1968,District of Columbia,"139,566","31,012",0,https://uselectionatlas.org/RESULTS/
1968,Florida,"676,794","886,804","624,207",https://uselectionatlas.org/RESULTS/
1968,Georgia,"334,440","380,111","535,715",https://uselectionatlas.org/RESULTS/
1968,Hawaii,"141,324","91,425","3,469",https://uselectionatlas.org/RESULTS/
1968,Idaho,"89,273","165,369","36,541",https://uselectionatlas.org/RESULTS/
1968,Illinois,"2,039,814","2,174,774","405,161",https://uselectionatlas.org/RESULTS/
1968,Indiana,"806,659","1,067,885","249,053",https://uselectionatlas.org/RESULTS/
1968,Iowa,"476,699","619,106","72,126",https://uselectionatlas.org/RESULTS/
1968,Kansas,"302,996","478,674","91,113",https://uselectionatlas.org/RESULTS/
1968,Kentucky,"397,541","462,411","195,941",https://uselectionatlas.org/RESULTS/
1968,Louisiana,"309,615","257,535","530,300",https://uselectionatlas.org/RESULTS/
1968,Maine,"217,312","169,254","6,370",https://uselectionatlas.org/RESULTS/
